import time: self [us] | cumulative | imported package
import time:       111 |        111 |   _io
import time:        23 |         23 |   marshal
import time:       255 |        255 |   posix
import time:       236 |        623 | _frozen_importlib_external
import time:       125 |        125 |   time
import time:        84 |        208 | zipimport
import time:        33 |         33 |     _codecs
import time:       210 |        242 |   codecs
import time:       289 |        289 |   encodings.aliases
import time:       347 |        877 | encodings
import time:       154 |        154 | encodings.utf_8
import time:        65 |         65 | _signal
import time:        23 |         23 |     _abc
import time:        82 |        105 |   abc
import time:       113 |        217 | io
import time:        29 |         29 |       _stat
import time:        44 |         72 |     stat
import time:       549 |        549 |     _collections_abc
import time:        36 |         36 |       genericpath
import time:        44 |         80 |     posixpath
import time:       237 |        937 |   os
import time:        43 |         43 |   _sitebuiltins
import time:       488 |        488 |   _distutils_hack
import time:       171 |        171 |   sitecustomize
import time:      1115 |       2752 | site
import time:       273 |        273 |     types
import time:       299 |        299 |     _ctypes
import time:       128 |        128 |       _struct
import time:       122 |        250 |     struct
import time:       201 |        201 |     ctypes._endian
import time:       581 |       1600 |   ctypes
import time:        72 |         72 |       itertools
import time:       143 |        143 |       keyword
import time:        49 |         49 |         _operator
import time:       207 |        256 |       operator
import time:       126 |        126 |       reprlib
import time:        44 |         44 |       _collections
import time:      1040 |       1677 |     collections
import time:        50 |         50 |     _functools
import time:       496 |       2223 |   functools
import time:       391 |        391 |     contextlib
import time:      1128 |       1128 |       enum
import time:        50 |         50 |         _sre
import time:       294 |        294 |           re._constants
import time:       279 |        572 |         re._parser
import time:        92 |         92 |         re._casefix
import time:       247 |        959 |       re._compiler
import time:       127 |        127 |       copyreg
import time:       397 |       2610 |     re
import time:       111 |        111 |     fnmatch
import time:       361 |       3471 |   glob
import time:       207 |        207 |     warnings
import time:       136 |        343 |   importlib
import time:       625 |        625 |       _ast
import time:       795 |       1419 |     ast
import time:       111 |        111 |         _opcode
import time:       336 |        446 |       opcode
import time:       575 |       1021 |     dis
import time:       126 |        126 |     collections.abc
import time:        43 |         43 |     importlib.machinery
import time:       122 |        122 |         token
import time:       674 |        796 |       tokenize
import time:       121 |        916 |     linecache
import time:      1441 |       4964 |   inspect
import time:       156 |        156 |   math
import time:      1498 |       1498 |   platform
import time:       688 |        688 |   textwrap
import time:       161 |        161 |     _weakrefset
import time:       465 |        625 |   threading
import time:       113 |        113 |     _typing
import time:      1826 |       1938 |   typing
import time:       243 |        243 |     _socket
import time:      2504 |       2747 |   typing_extensions
import time:       394 |        394 |       traceback
import time:       372 |        372 |       weakref
import time:        30 |         30 |         _string
import time:       479 |        509 |       string
import time:        84 |         84 |       atexit
import time:      2320 |       3677 |     logging
import time:       200 |        200 |       _compat_pickle
import time:       189 |        189 |       _pickle
import time:        71 |         71 |           org
import time:        12 |         83 |         org.python
import time:        14 |         96 |       org.python.core
import time:       670 |       1154 |     pickle
import time:       765 |       5594 |   torch._utils
import time:        54 |         54 |         errno
import time:       225 |        225 |         zlib
import time:       160 |        160 |           _compression
import time:       196 |        196 |           _bz2
import time:       280 |        635 |         bz2
import time:       225 |        225 |           _lzma
import time:       187 |        412 |         lzma
import time:       447 |       1771 |       shutil
import time:        95 |         95 |           _bisect
import time:       101 |        196 |         bisect
import time:        90 |         90 |         _random
import time:        66 |         66 |         _sha512
import time:       603 |        603 |           _hashlib
import time:       395 |        395 |           _blake2
import time:       576 |       1572 |         hashlib
import time:       315 |       2237 |       random
import time:       320 |       4327 |     tempfile
import time:       159 |        159 |       torch._strobelight
import time:       116 |        116 |             _json
import time:       274 |        389 |           json.scanner
import time:       290 |        678 |         json.decoder
import time:       303 |        303 |         json.encoder
import time:       149 |       1129 |       json
import time:        61 |         61 |           _locale
import time:       622 |        683 |         locale
import time:       450 |        450 |         signal
import time:       123 |        123 |         fcntl
import time:        69 |         69 |         msvcrt
import time:        91 |         91 |         _posixsubprocess
import time:        99 |         99 |         select
import time:       458 |        458 |         selectors
import time:       541 |       2511 |       subprocess
import time:       189 |        189 |         _datetime
import time:       706 |        894 |       datetime
import time:       162 |        162 |         array
import time:      1116 |       1277 |       socket
import time:        35 |         35 |           gc
import time:       152 |        186 |         timeit
import time:       368 |        553 |       torch._strobelight.cli_function_profiler
import time:       327 |       6848 |     torch._strobelight.compile_time_profiler
import time:       278 |      11452 |   torch._utils_internal
import time:       133 |        133 |         torch._vendor
import time:       291 |        423 |       torch._vendor.packaging
import time:       142 |        142 |       torch._vendor.packaging._structures
import time:      1695 |       2259 |     torch._vendor.packaging.version
import time:       146 |        146 |     torch.version
import time:       189 |       2593 |   torch.torch_version
import time:        35 |         35 |   torch._rocm_init
